Pressure,Diameter
10.4305,100.412,
11.7025,102.706,
12.5930,104.471,
13.9922,107.294,
15.5186,109.765,
16.9178,111.882,
18.8258,114,
20.8611,115.941,
22.6419,117.353,
24.9315,119.471,
27.4755,120.529,
30.2740,121.588,
33.0724,121.941,
35.6164,121.588,
39.0509,120.529,
41.3405,119.118,
43.5029,117.353,
44.7750,116.118,
49.4814,110.824,
51.0078,109.059,
52.9159,107.118,
54.4423,105.176,
56.2231,103.235,
57.7495,101.824,
59.1487,100.059,
61.9472,97.5882,
64.1096,95.8235,
67.1624,93.3529,
70.7241,90.8824,
73.2681,89.1176,
77.0842,86.6471,
78.8650,85.5882,
82.5538,83.8235,
86.8787,81.7059,
90.8219,79.9412,
94.3836,78.5294,
97.4364,77.4706,
107.867,74.2941,
115.245,72.7059,
121.732,71.1176,
125.294,71.1176,
127.329,70.4118,
